# mapping_set_id: https://github.com/bridgedb/tiwid/raw/refs/heads/main/artifacts/tiwid.sssom.tsv
# mapping_set_description: This Is Where Identifiers Die
# license: https://creativecommons.org/publicdomain/zero/1.0/
# curie_map:
#   cas: https://commonchemistry.cas.org/detail?cas_rn=
#   CHEBI: http://purl.obolibrary.org/obo/CHEBI_
#   chemspider: https://bioregistry.io/chemspider:
#   ensembl: https://www.ensembl.org/id/
#   hgnc.symbol: https://www.genenames.org/data/gene-symbol-report/#!/symbol/
#   hmdb: http://www.hmdb.ca/metabolites/
#   IAO: http://purl.obolibrary.org/obo/IAO_
#   lipidmaps: http://www.lipidmaps.org/data/LMSDRecord.php?LMID=
#   molmedb: https://molmedb.upol.cz/mol/
#   omim: https://omim.org/MIM:
#   pmc: http://europepmc.org/articles/
#   ppr: https://europepmc.org/article/ppr/
#   pubchem.compound: https://pubchem.ncbi.nlm.nih.gov/compound/
#   pubmed: https://bioregistry.io/pubmed:
#   uniprot: http://purl.uniprot.org/uniprot/
#   wikidata: http://www.wikidata.org/entity/
#   wikipathways: http://www.wikipathways.org/instance/
subject_id	predicate_id	object_id	mapping_justification	mapping_date	author_id
CHEBI:12472	IAO:0100001	CHEBI:18163	semapv:ManualMappingCuration		
CHEBI:12555	IAO:0100001	CHEBI:51013	semapv:ManualMappingCuration		
CHEBI:12556	IAO:0100001	CHEBI:51013	semapv:ManualMappingCuration		
CHEBI:21146	IAO:0100001	CHEBI:51013	semapv:ManualMappingCuration		
CHEBI:21624	IAO:0100001	CHEBI:18163	semapv:ManualMappingCuration		
CHEBI:21917	IAO:0100001	CHEBI:28541	semapv:ManualMappingCuration		
CHEBI:26219	IAO:0100001	CHEBI:29103	semapv:ManualMappingCuration		
CHEBI:49685	IAO:0100001	CHEBI:29103	semapv:ManualMappingCuration		
CHEBI:5233	IAO:0100001	CHEBI:28541	semapv:ManualMappingCuration		
CHEBI:7115	IAO:0100001	CHEBI:51013	semapv:ManualMappingCuration		
CHEBI:71582	IAO:0100001	CHEBI:51013	semapv:ManualMappingCuration		
CHEBI:7217	IAO:0100001	CHEBI:18163	semapv:ManualMappingCuration		
CHEBI:7535	IAO:0100001	CHEBI:28541	semapv:ManualMappingCuration		
CHEBI:8345	IAO:0100001	CHEBI:29103	semapv:ManualMappingCuration		
cas:107719-55-1	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:108608-60-2	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:109630-52-6	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:110670-65-0	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:11129-24-1	IAO:0100001	cas:606-59-7	semapv:ManualMappingCuration		
cas:1135441-05-2	IAO:0100001	cas:35554-44-0	semapv:ManualMappingCuration		
cas:1135441-15-4	IAO:0100001	cas:60207-90-1	semapv:ManualMappingCuration		
cas:123066-82-0	IAO:0100001	cas:107534-96-3	semapv:ManualMappingCuration		
cas:124779-54-0	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:125407-52-5	IAO:0100001	cas:60207-90-1	semapv:ManualMappingCuration		
cas:1256343-09-5	IAO:0100001	cas:107534-96-3	semapv:ManualMappingCuration		
cas:126639-29-0	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:12768-48-8	IAO:0100001	cas:2921-88-2	semapv:ManualMappingCuration		
cas:131891-38-8	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:137718-37-7	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:138454-81-6	IAO:0100001	cas:29658-26-2	semapv:ManualMappingCuration		
cas:152175-96-7	IAO:0100001	cas:12184-96-2	semapv:ManualMappingCuration		
cas:152175-97-8	IAO:0100001	cas:12596-12-2	semapv:ManualMappingCuration		
cas:153012-39-6	IAO:0100001	cas:55268-75-2	semapv:ManualMappingCuration		
cas:155313-22-7	IAO:0100001	cas:12596-15-5	semapv:ManualMappingCuration		
cas:16839-32-0	IAO:0100001	cas:13674-84-5	semapv:ManualMappingCuration		
cas:17879-93-5	IAO:0100001	cas:96-83-3	semapv:ManualMappingCuration		
cas:181591-67-3	IAO:0100001	cas:60207-90-1	semapv:ManualMappingCuration		
cas:186673-39-2	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:205180-59-2	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:2103217-17-8	IAO:0100001	cas:60207-90-1	semapv:ManualMappingCuration		
cas:224951-26-2	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:2270854-18-5	IAO:0100001	cas:60433-72-9	semapv:ManualMappingCuration		
cas:2374796-33-3	IAO:0100001	cas:19774-82-4	semapv:ManualMappingCuration		
cas:275818-89-8	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:30496-13-0	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:39475-55-3	IAO:0100001	cas:2921-88-2	semapv:ManualMappingCuration		
cas:40120-69-2	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:476648-89-2	IAO:0100001	cas:135319-73-2	semapv:ManualMappingCuration		
cas:50885-87-5	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:51004-46-7	IAO:0100001	cas:35554-44-0	semapv:ManualMappingCuration		
cas:51253-31-7	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:607374-50-5	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:64658-56-6	IAO:0100001	cas:14913-33-8	semapv:ManualMappingCuration		
cas:725200-57-7	IAO:0100001	cas:1333-74-0	semapv:ManualMappingCuration		
cas:7300-23-4	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:73790-28-0	IAO:0100001	cas:35554-44-0	semapv:ManualMappingCuration		
cas:75881-82-2	IAO:0100001	cas:60207-90-1	semapv:ManualMappingCuration		
cas:76341-26-9	IAO:0100001	cas:79-94-7	semapv:ManualMappingCuration		
cas:8033-53-2	IAO:0100001	cas:117-81-7	semapv:ManualMappingCuration		
cas:80443-41-0	IAO:0100001	cas:107534-96-3	semapv:ManualMappingCuration		
cas:82847-81-2	IAO:0100001	cas:14913-33-8	semapv:ManualMappingCuration		
cas:98112-32-4	IAO:0100001	cas:13674-84-5	semapv:ManualMappingCuration		
ensembl:ENSG00000011177	IAO:0100001	ensembl:ENSG00000011177.5	semapv:ManualMappingCuration		
ensembl:ENSG00000079782	IAO:0100001	ensembl:ENSG00000079782.8	semapv:ManualMappingCuration		
ensembl:ENSG00000096087	IAO:0100001	ensembl:ENSG00000096087.5	semapv:ManualMappingCuration		
ensembl:ENSG00000105663	IAO:0100001	ensembl:ENSG00000272333	semapv:ManualMappingCuration		
ensembl:ENSG00000105663.1	IAO:0100001	ensembl:ENSG00000272333	semapv:ManualMappingCuration		
ensembl:ENSG00000132142	IAO:0100001	ensembl:ENSG00000278540	semapv:ManualMappingCuration		
ensembl:ENSG00000132142.1	IAO:0100001	ensembl:ENSG00000278540	semapv:ManualMappingCuration		
ensembl:ENSG00000172070	IAO:0100001	ensembl:ENSG00000271303	semapv:ManualMappingCuration		
ensembl:ENSG00000172070.5	IAO:0100001	ensembl:ENSG00000271303	semapv:ManualMappingCuration		
ensembl:ENSG00000175818	IAO:0100001	ensembl:ENSG00000175818.6	semapv:ManualMappingCuration		
ensembl:ENSG00000184674	IAO:0100001	ensembl:ENSG00000184674.8	semapv:ManualMappingCuration		
ensembl:ENSG00000187919	IAO:0100001	ensembl:ENSG00000187919.5	semapv:ManualMappingCuration		
ensembl:ENSG00000197592	IAO:0100001	ensembl:ENSG00000197592.3	semapv:ManualMappingCuration		
ensembl:ENSG00000198339	IAO:0100001	ensembl:ENSG00000276180	semapv:ManualMappingCuration		
ensembl:ENSG00000198339.3	IAO:0100001	ensembl:ENSG00000276180	semapv:ManualMappingCuration		
ensembl:ENSG00000198981	IAO:0100001	ensembl:ENSG00000284032	semapv:ManualMappingCuration		
ensembl:ENSG00000198981.2	IAO:0100001	ensembl:ENSG00000284032	semapv:ManualMappingCuration		
ensembl:ENSG00000199004	IAO:0100001	ensembl:ENSG00000284190	semapv:ManualMappingCuration		
ensembl:ENSG00000199066	IAO:0100001	ensembl:ENSG00000284544	semapv:ManualMappingCuration		
ensembl:ENSG00000199066.1	IAO:0100001	ensembl:ENSG00000284544	semapv:ManualMappingCuration		
ensembl:ENSG00000199097	IAO:0100001	ensembl:ENSG00000284231	semapv:ManualMappingCuration		
ensembl:ENSG00000207603	IAO:0100001	ensembl:ENSG00000284179	semapv:ManualMappingCuration		
ensembl:ENSG00000207603.1	IAO:0100001	ensembl:ENSG00000284179	semapv:ManualMappingCuration		
ensembl:ENSG00000207694	IAO:0100001	ensembl:ENSG00000284453	semapv:ManualMappingCuration		
ensembl:ENSG00000207700	IAO:0100001	ensembl:ENSG00000276365	semapv:ManualMappingCuration		
ensembl:ENSG00000207718	IAO:0100001	ensembl:ENSG00000283785	semapv:ManualMappingCuration		
ensembl:ENSG00000207745	IAO:0100001	ensembl:ENSG00000284536	semapv:ManualMappingCuration		
ensembl:ENSG00000207748	IAO:0100001	ensembl:ENSG00000283797	semapv:ManualMappingCuration		
ensembl:ENSG00000207764	IAO:0100001	ensembl:ENSG00000284508	semapv:ManualMappingCuration		
ensembl:ENSG00000207795	IAO:0100001	ensembl:ENSG00000283904	semapv:ManualMappingCuration		
ensembl:ENSG00000207865	IAO:0100001	ensembl:ENSG00000284357	semapv:ManualMappingCuration		
ensembl:ENSG00000207875	IAO:0100001	ensembl:ENSG00000284520	semapv:ManualMappingCuration		
ensembl:ENSG00000207929	IAO:0100001	ensembl:ENSG00000284112	semapv:ManualMappingCuration		
ensembl:ENSG00000207936	IAO:0100001	ensembl:ENSG00000283733	semapv:ManualMappingCuration		
ensembl:ENSG00000207939	IAO:0100001	ensembl:ENSG00000284567	semapv:ManualMappingCuration		
ensembl:ENSG00000207949	IAO:0100001	ensembl:ENSG00000283844	semapv:ManualMappingCuration		
ensembl:ENSG00000207966	IAO:0100001	ensembl:ENSG00000207966.1	semapv:ManualMappingCuration		
ensembl:ENSG00000207968	IAO:0100001	ensembl:ENSG00000207968.2	semapv:ManualMappingCuration		
ensembl:ENSG00000208034	IAO:0100001	ensembl:ENSG00000284538	semapv:ManualMappingCuration		
ensembl:ENSG00000208035	IAO:0100001	ensembl:ENSG00000284182	semapv:ManualMappingCuration		
ensembl:ENSG00000209707	IAO:0100001	ensembl:ENSG00000209707.1	semapv:ManualMappingCuration		
