#did	when	nextofkin
7300-23-4		79-94-7
8033-53-2		117-81-7
9021-03-8		9016-45-9
9067-50-9		9016-45-9
11098-16-1		9016-45-9
11103-60-9		9016-45-9
11107-93-0		9016-45-9
11129-24-1		606-59-7
12767-68-9		9016-45-9
12768-48-8		2921-88-2
12789-12-7		9016-45-9
12790-67-9		9016-45-9
16839-32-0		13674-84-5
17879-93-5		96-83-3
25640-88-4		9016-45-9
27288-14-8		9016-45-9
28136-10-9		9016-45-9
29594-36-3		9016-45-9
30496-13-0		79-94-7
30676-83-6		9016-45-9
32196-52-4		9016-45-9
37187-23-8		9016-45-9
37210-94-9		9016-45-9
37230-99-2		9016-45-9
37280-80-1		9016-45-9
37291-67-1		9016-45-9
37336-52-0		9016-45-9
39289-57-1		9016-45-9
39316-45-5		9016-45-9
39316-73-9		9016-45-9
39346-85-5		9016-45-9
39373-71-2		9016-45-9
39392-83-1		9016-45-9
39393-36-7		9016-45-9
39421-49-3		9016-45-9
39453-05-9		9016-45-9
39454-98-3		9016-45-9
39475-46-2		9016-45-9
39475-55-3		2921-88-2
40120-69-2		117-81-7
42617-03-8		9016-45-9
50855-29-3		9016-45-9
50885-87-5		117-81-7
50934-84-4		9016-45-9
51004-46-7		35554-44-0
51059-97-3		9016-45-9
51253-31-7		79-94-7
51609-19-9		9016-45-9
51668-51-0		9016-45-9
51938-59-1		9016-45-9
51938-60-4		9016-45-9
52012-43-8		9016-45-9
52038-46-7		9016-45-9
52051-49-7		9016-45-9
52434-07-8		9016-45-9
52440-03-6		9016-45-9
52440-78-5		9016-45-9
52440-94-5		9016-45-9
52504-18-4		9016-45-9
52504-19-5		9016-45-9
52683-07-5		9016-45-9
53125-17-0		9016-45-9
53529-49-0		9016-45-9
53663-55-1		9016-45-9
53763-35-2		9016-45-9
53763-36-3		9016-45-9
54174-36-6		9016-45-9
54985-54-5		9016-45-9
55126-80-2		9016-45-9
55838-69-2		9016-45-9
56590-96-6		9016-45-9
57308-02-8		9016-45-9
57571-69-4		9016-45-9
59330-69-7		9016-45-9
60098-67-1		9016-45-9
60476-27-9		9016-45-9
61614-07-1		9016-45-9
61840-55-9		9016-45-9
62169-44-2		9016-45-9
62229-21-4		9016-45-9
62229-24-7		9016-45-9
62229-29-2		9016-45-9
63440-03-9		9016-45-9
63798-88-9		9016-45-9
64296-14-6		9016-45-9
64658-56-6		14913-33-8
64940-97-2		9016-45-9
65035-40-7		9016-45-9
65035-41-8		9016-45-9
65777-14-2		9016-45-9
66525-84-6		9016-45-9
67053-58-1		9016-45-9
72847-44-0		9016-45-9
72847-45-1		9016-45-9
73790-28-0		35554-44-0
74434-41-6		9016-45-9
74656-63-6		9016-45-9
74749-71-6		9016-45-9
75881-82-2		60207-90-1
75882-09-6		9016-45-9
76341-26-9		79-94-7
76829-05-5		9016-45-9
77271-60-4		9016-45-9
80341-59-9		9016-45-9
80443-41-0		107534-96-3
80966-32-1		9016-45-9
81296-82-4		9016-45-9
82847-81-2		14913-33-8
83271-48-1		9016-45-9
90452-81-6		9016-45-9
93095-76-2		9016-45-9
95828-59-4		9016-45-9
96231-61-7		9016-45-9
96957-64-1		9016-45-9
96958-17-7		9016-45-9
96958-28-0		9016-45-9
98112-32-4		13674-84-5
99402-83-2		9016-45-9
99531-82-5		9016-45-9
102188-45-4		9016-45-9
103939-37-3		9016-45-9
105269-88-3		9016-45-9
106152-98-1		9016-45-9
107231-62-9		9016-45-9
107719-55-1		79-94-7
108608-60-2		79-94-7
109630-52-6		117-81-7
110670-65-0		79-94-7
111623-62-2		9016-45-9
112509-36-1		9016-45-9
114101-89-2		9016-45-9
116711-78-5		9016-45-9
123019-34-1		9016-45-9
123066-82-0		107534-96-3
123068-21-3		9016-45-9
124057-60-9		9016-45-9
124779-54-0		79-94-7
125407-52-5		60207-90-1
126639-29-0		117-81-7
131891-38-8		79-94-7
137263-06-0		9016-45-9
137718-37-7		117-81-7
138454-81-6		29658-26-2
139281-67-7		9016-45-9
141490-14-4		9016-45-9
142985-89-5		9016-45-9
143929-07-1		9016-45-9
152175-96-7		12184-96-2
152175-97-8		12596-12-2
153012-39-6		55268-75-2
155313-22-7		12596-15-5
167140-06-9		9016-45-9
172521-16-3		9016-45-9
181591-67-3		60207-90-1
186673-39-2		79-94-7
188612-23-9		9016-45-9
190856-87-2		9016-45-9
202936-22-9		9016-45-9
205180-59-2		117-81-7
205577-03-3		9016-45-9
224951-26-2		79-94-7
226225-58-7		9016-45-9
226225-59-8		9016-45-9
275818-89-8		117-81-7
286015-24-5		9016-45-9
286015-28-9		9016-45-9
376647-33-5		9016-45-9
441352-55-2		9016-45-9
441352-56-3		9016-45-9
441352-57-4		9016-45-9
441352-58-5		9016-45-9
441352-59-6		9016-45-9
476648-89-2		135319-73-2
509171-19-1		9016-45-9
607374-50-5		117-81-7
623588-93-2		9016-45-9
725200-57-7		1333-74-0
874461-43-5		9016-45-9
933050-99-8		9016-45-9
942205-98-3		9016-45-9
1135441-05-2		35554-44-0
1135441-15-4		60207-90-1
1163687-50-0		9016-45-9
1202388-20-2		9016-45-9
1202388-26-8		9016-45-9
1256343-09-5		107534-96-3
1809431-45-5		9016-45-9
1809431-82-0		9016-45-9
1943678-94-1		9016-45-9
2091900-73-9		9016-45-9
2096976-67-7		9016-45-9
2103217-17-8		60207-90-1
2270854-18-5		60433-72-9
2323620-11-5		9016-45-9
2332812-08-3		9016-45-9
2374796-33-3		19774-82-4
2408592-97-0		9016-45-9
25640-88-4		9016-45-9
27288-14-8		9016-45-9
28136-10-9		9016-45-9
29594-36-3		9016-45-9
30676-83-6		9016-45-9
32196-52-4		9016-45-9
37187-23-8		9016-45-9
37210-94-9		9016-45-9
37230-99-2		9016-45-9
37280-80-1		9016-45-9
37291-67-1		9016-45-9
37336-52-0		9016-45-9
39289-57-1		9016-45-9
39316-45-5		9016-45-9
39316-73-9		9016-45-9
39346-85-5		9016-45-9
39373-71-2		9016-45-9
39392-83-1		9016-45-9
39393-36-7		9016-45-9
39421-49-3		9016-45-9
39453-05-9		9016-45-9
39454-98-3		9016-45-9
39475-46-2		9016-45-9
42617-03-8		9016-45-9
50855-29-3		9016-45-9
50934-84-4		9016-45-9
51059-97-3		9016-45-9
51609-19-9		9016-45-9
51668-51-0		9016-45-9
51938-59-1		9016-45-9
51938-60-4		9016-45-9
52012-43-8		9016-45-9
52038-46-7		9016-45-9
52051-49-7		9016-45-9
52434-07-8		9016-45-9
52440-03-6		9016-45-9
52440-78-5		9016-45-9
52440-94-5		9016-45-9
52504-18-4		9016-45-9
52504-19-5		9016-45-9
52683-07-5		9016-45-9
53125-17-0		9016-45-9
53529-49-0		9016-45-9
53663-55-1		9016-45-9
53763-35-2		9016-45-9
53763-36-3		9016-45-9
54174-36-6		9016-45-9
54985-54-5		9016-45-9
55126-80-2		9016-45-9
55838-69-2		9016-45-9
56590-96-6		9016-45-9
57308-02-8		9016-45-9
57571-69-4		9016-45-9
59330-69-7		9016-45-9
60098-67-1		9016-45-9
60476-27-9		9016-45-9
61614-07-1		9016-45-9
61840-55-9		9016-45-9
62169-44-2		9016-45-9
62229-21-4		9016-45-9
62229-24-7		9016-45-9
62229-29-2		9016-45-9
63440-03-9		9016-45-9
63798-88-9		9016-45-9
64296-14-6		9016-45-9
64940-97-2		9016-45-9
65035-40-7		9016-45-9
65035-41-8		9016-45-9
65777-14-2		9016-45-9
66525-84-6		9016-45-9
