#did	when	nextofkin
MM15247	2021-01-15	MM00691
MM15149	2021-01-15	MM00854
MM11343	2021-01-15	MM01522
MM01551	2021-01-15	MM01435
MM01550	2021-01-15	MM00720
MM01384	2021-01-15	MM01305
MM01364	2021-01-15	MM01348
MM01302	2021-01-15	MM00676
MM00851	2021-01-15	MM00524
MM00652	2021-01-15	MM12519
MM01474	2021-01-15	MM00349
MM00450	2021-01-15	MM12580
MM16926	2021-01-20	MM00449
MM17096	2021-01-25	MM01549
MM17500	2021-01-25	MM00463
MM17423	2021-01-25	MM01370
MM16904	2021-01-25	MM01275
MM133940	2021-01-26	MM16896
MM467514	2021-02-04	MM01275
MM16778	2021-02-04	MM01272
MM467580	2021-02-04	MM01370
MM467581	2021-02-17	MM17421
MM470914	2022-05-18	MM00009
MM470915	2022-05-18	MM00036
MM470917	2022-05-18	MM00597
MM470918	2022-05-18	MM00598
MM470919	2022-05-18	MM00600
MM470920	2022-05-18	MM00437
MM470922	2022-05-18	MM00074
MM470923	2022-05-18	MM00325
MM470924	2022-05-18	MM00438
MM470925	2022-05-18	MM00327
MM470927	2022-05-18	MM00329
MM470928	2022-05-18	MM00440
MM470929	2022-05-18	MM00441
MM470930	2022-05-18	MM00330
MM470931	2022-05-18	MM00098
MM470932	2022-05-18	MM00716
MM470933	2022-05-18	MM00627
MM470934	2022-05-18	MM00332
MM470936	2022-05-18	MM00078
MM470937	2022-05-18	MM00449
MM470938	2022-05-18	MM12580
MM470939	2022-05-18	MM00335
MM470940	2022-05-18	MM00336
MM470942	2022-05-18	MM00631
MM470943	2022-05-18	MM00451
MM470944	2022-05-18	MM00338
MM470945	2022-05-18	MM00453
MM470946	2022-05-18	MM00339
MM470947	2022-05-18	MM00454
MM470948	2022-05-18	MM00455
