#did	when	nextofkin
11331091		11324699
33093177		33454021
8841406		
9668121		
9792683		
36658737		
36961293		
36658746		
37077123		
37000220		
36988760		
36929017		
36823264		
37114639		
36988682		
36997722		
37106383		
37114529		
36971925		
37027016		
36932297		
37114553		
37101243		
37099630		
37099555		
37099234		
37097424		
37099255		
37097549		
37118757		
37093887		
37114565		
37106357		
37101083		
37099618		
37113738		
37098030		
37097252		
37083557		
37083072		
37096568		
37083064		
37081507		
37079656		
37097002		
37095259		
37093499		
37075052		
37075038		
37075011		
37089058		
37081544		
37093898		
37075060		
37075053		
37075023		
37072789		
37075061		
37075040		
37096176		
37062832		
37113686		
37095767		
37074108		
37070534		
37081451		
37081281		
37109383		
37070187		
37075020		
37075000		
37076859		
37075044		
37070522		
37070528		
37081943		
37069660		
37069630		
37069265		
37077413		
37052236		
37078010		
37055736		
37052586		
37050853		
37041369		
37040368		
36976182		
37051642		
36988030		
37041574		
37039278		
37058248		
37052264		
37063343		
37055498		
37036853		
37036761		
37046403		
37042963		
37065775		
37041482		
37040360		
37039886		
37057189		
37026521		
37036861		
37057187		
37024914		
37078007		
37057061		
37026507		
37082228		
37034141		
37033386		
37020137		
37015095		
37014895		
37013959		
37026529		
37026508		
37051318		
37024726		
37024774		
36977886		
36734671		
37017310		
36974896		
37083008		
37055064		
37021730		
36949240		
36857015		
37016204		
37014522		
37021732		
36890279		
36810825		
36795326		
36750539		
33617082		
37034480		
36998033		
36996344		
37010788		
36989316		
36989269		
36989265		
36989189		
37064019		
36991005		
36989267		
36989255		
36989250		
36989268		
37083010		
37059802		
37021731		
37019873		
36929424		
34374166		
31278837		
36977626		
36975124		
36974998		
37083009		
37005649		
36795337		
36750540		
36399314		
36315278		
36156758		
33491301		
37011254		
36991028		
36989262		
36989244		
36975127		
36975045		
36999612		
36999591		
37013138		
37013128		
37000179		
36992672		
36996231		
36971397		
37020601		
36989312		
36989263		
36989204		
37014357		
37011276		
37011271		
36991015		
36989256		
36989242		
36989230		
36989205		
36989188		
37013025		
36961911		
36960873		
37056608		
37000181		
36978192		
37032834		
36960872		
36972210		
36968047		
36973726		
36971617		
36998312		
36964577		
36952543		
36959229		
36951245		
36949433		
36946135		
36964772		
36944162		
36946882		
36974072		
36942867		
36942647		
37033106		
36960862		
36942820		
36942787		
36941569		
36939060		
36951258		
36943443		
36942936		
36928745		
36927360		
36942712		
36942713		
36929640		
36929634		
36928526		
36941584		
37034538		
37034514		
37034520		
36960309		
36927294		
36927286		
36927247		
36935506		
37034508		
36919700		
37056831		
36927255		
36928400		
36927189		
36960193		
37067889		
36928067		
36920966		
36949810		
36920977		
36920975		
36919703		
36942211		
36987372		
36929277		
36983446		
36938516		
36937813		
36893107		
36898131		
36896788		
36936521		
36937780		
36922990		
36890562		
36894955		
36892622		
36883770		
36882738		
36913271		
36897836		
36896787		
36936032		
36876851		
36893456		
36871668		
36927453		
36866771		
36866735		
36883226		
36950454		
36875883		
37006875		
36861481		
36856006		
36797340		
36787081		
36729214		
36472755		
36228128		
36909964		
36879118		
36861483		
36812936		
36759574		
36724002		
36260198		
36853476		
36936120		
36892089		
36861480		
36859315		
36857357		
36856005		
36626313		
36864371		
36849942		
36864449		
36864099		
36842613		
36883069		
36879045		
36861479		
36857359		
36856147		
36825350		
36796793		
36255563		
36843090		
36909971		
36909965		
36861482		
36765147		
36635348		
36626104		
36825589		
36825562		
36825477		
37113426		
36855154		
36842614		
36842615		
36828847		
36827257		
36879927		
36854882		
36823426		
36849874		
36875747		
36891604		
36823633		
36865904		
36865080		
36825560		
36829117		
36807610		
36801997		
36810254		
36802009		
36814345		
36799166		
36866302		
36799158		
36799153		
36808626		
36807873		
36799160		
36797762		
36895963		
36855377		
36800983		
36786962		
36852219		
36895985		
36852217		
36814545		
36825036		
36787041		
36800367		
36844951		
36795302		
36773169		
36814899		
36814802		
36790204		
36824407		
36765454		
36818543		
36778769		
36759820		
36762718		
36759596		
36779727		
36755337		
36749756		
36816819		
36763577		
36763572		
36793388		
36788927		
36818581		
36744398		
36789179		
36759851		
36789208		
36778789		
36776956		
36728814		
36728730		
36844631		
36737624		
36735760		
36734287		
36776949		
36728835		
36728759		
36728745		
36959107		
36876419		
36847581		
36812137		
36719024		
36649659		
36645504		
34409453		
36789380		
36778788		
36776952		
36776957		
36728914		
36728142		
36876421		
36876418		
36847580		
36843506		
36812139		
36812134		
36762698		
36762556		
36648103		
36547794		
36477758		
36789178		
36757294		
36721197		
36739375		
36876420		
36847582		
36812942		
36812141		
36812136		
36792563		
36692637		
36649658		
36494433		
36417154		
36316545		
36756139		
36755785		
36716313		
36715513		
36715506		
36816952		
36755776		
36776953		
36730338		
36728811		
36728754		
36756134		
36755783		
36776950		
36728813		
36708526		
36812140		
36812135		
36762555		
36649657		
36580263		
36417052		
36326849		
36251172		
36227404		
36743460		
36708528		
36937473		
36812138		
36726152		
36649660		
36600103		
36258019		
36214604		
36198769		
35943551		
36789272		
36721140		
36656077		
36629153		
36708525		
36741873		
36741862		
36713819		
36756138		
36704852		
36741872		
36741863		
36741868		
36756140		
36702330		
36741861		
36756135		
36733938		
36708529		
36708524		
36741871		
36741867		
36697754		
36708527		
36726360		
36691042		
36704848		
36721759		
36741870		
36741864		
36698130		
36727156		
36721761		
36741869		
36721709		
36718170		
36741875		
36741866		
36661339		
36660949		
36743694		
36741865		
36694189		
36691006		
36714409		
36670108		
36660951		
36961288		
36741298		
36714420		
36714398		
36714402		
36714022		
36691029		
36726771		
36714413		
36714419		
36714405		
36655732		
36744223		
36714422		
36714406		
36714397		
36651957		
36651500		
36726773		
36721762		
36714421		
36714416		
36714404		
36698433		
36656831		
36714417		
36714399		
36651664		
36651643		
36651493		
36704577		
36721760		
37063350		
36761039		
36714414		
36714329		
36714028		
