#did	when	nextofkin
Q72509315		Q421351
Q12414752		Q421396
Q18362894		Q421396
Q6129489		Q421420
Q12442542		Q421448
Q12442535		Q421465
Q16123879		Q421758
Q25600830		Q421857
Q12415783		Q421873
Q12000794		Q422037
Q13169176		Q422426
Q15657535		Q422426
Q97254588		Q422613
Q12820139		Q422698
Q12447500		Q422761
Q21531998		Q422761
Q27765662		Q422761
Q65164900		Q422761
Q27077253		Q422837
Q12721728		Q422964
Q12819853		Q422964
Q65303915		Q422964
Q15633260		Q423129
Q27032373		Q423129
Q56353333		Q423129
Q65174948		Q423207
Q12429873		Q423265
Q18444510		Q423265
Q18362118		Q423271
Q56327286		Q423288
Q25436441		Q907718
Q71533860		Q26987253
Q27258754		Q27077623
Q106314613		Q106314612
Q13057646		Q7946
Q13116747		Q7946
Q13159027		Q7946
Q26235505		Q7946
Q12827883		Q124695
Q25593927		Q124695
Q1107999		Q169336
Q10295297		Q169336
Q12575982		Q169336
Q12980049		Q169336
Q61068075		Q169336
Q97253632		Q169336
Q11890296		Q181394
Q12535489		Q181394
Q12897295		Q181394
Q31297370		Q181394
Q11055648		Q323461
Q12827990		Q323461
Q13116328		Q323461
Q21080886		Q323461
Q25512204		Q323461
Q25113784		Q373957
Q12526872		Q394316
Q57072714		Q394316
Q103854612		Q394316
Q11315419		Q417074
Q29864302		Q418279
Q18657389		Q423964
Q103856269		Q424085
Q6087401		Q542929
Q21157847		Q542929
Q45342745		Q542929
Q12086966		Q864939
Q13166983		Q864939
Q31297391		Q864939
Q10359949		Q902863
Q16719464		Q907644
Q26218520		Q1409184
Q103854934		Q2282401
Q11795899		Q2356542
Q12147125		Q2356542
Q12781323		Q2356542
Q20180716		Q2356542
Q23766403		Q2356542
Q24014562		Q2356542
Q25581715		Q2356542
Q4483649		Q3127040
Q5013233		Q3127040
Q13417698		Q3482521
Q27110371		Q3554446
Q2647434		Q18435446
Q27269332		Q27032359
Q107225864		Q27032359
Q3154107		Q27104658
Q27902942		Q27104812
Q27902951		Q27281644
Q6704357		Q162908
Q11660588		Q162908
Q25527309		Q162908
Q31173286		Q162908
Q31820221		Q162908
Q65429209		Q162908
Q11890296		Q181394
Q12535489		Q181394
Q12897295		Q181394
Q31297370		Q181394
Q12825749		Q185082
Q13170894		Q185082
Q18235354		Q185082
Q23925142		Q185082
Q12106019		Q248262
Q12547956		Q251106
Q2219506		Q280159
Q6138281		Q280159
Q105047677		Q418826
Q16321830		Q466403
Q20644529		Q466403
Q28859609		Q581334
Q47520977		Q581334
Q48566832		Q581334
Q48566687		Q1046522
Q5153160		Q1550480
Q6813720		Q1811173
Q12058408		Q1811173
Q12180727		Q6004128
Q12195146		Q6004128
Q47521706		Q6004128
Q48566677		Q6004128
Q28852446		Q18386075
Q28852709		Q18386075
Q27902936		Q27098093
Q46323426		Q27225479
Q46323735		Q27225544
Q28852684		Q28852424
Q48566675		Q28859600
Q65214803		Q28859600
Q48970843		Q48566733
Q60572896		Q48566733
Q12822102		Q185744
Q103859181		Q185744
Q13184387		Q205130
Q16493746		Q205130
Q97289403		Q389934
Q103854615		Q389934
Q109297956		Q389934
Q56658295		Q409205
Q97235588		Q410943
Q103855010		Q410943
Q28714339		Q424744
Q2635452		Q426938
Q56303144		Q503288
Q3489471		Q632350
Q6586751		Q632350
Q10911240		Q632350
Q2826762		Q863583
Q9340375		Q863583
Q12303472		Q863583
Q12351554		Q863583
Q25531689		Q863583
Q25523768		Q889659
Q56672312		Q899336
Q56638519		Q911571
Q55339351		Q1313132
Q4291648		Q1364934
Q15141475		Q1364934
Q16676072		Q1364934
Q29053760		Q1364934
Q9072798		Q1370541
Q12858527		Q1641357
Q27109983		Q1641357
Q56811187		Q1641357
Q7515012		Q1741093
Q11824086		Q2343294
Q12774681		Q2470597
Q9161759		Q2690011
Q12818831		Q2690011
Q15646948		Q2690011
Q16692099		Q2690011
Q4530799		Q3271204
Q11905759		Q4775253
Q89652906		Q4775253
Q12004140		Q5105088
Q16266042		Q5105088
Q21086906		Q5105088
Q107713667		Q5105088
Q24261983		Q5277317
Q21522590		Q5666501
Q65168284		Q7706206
Q60110		Q13174856
Q1491548		Q13174856
Q97267494		Q13174856
Q48566659		Q15708335
Q48566644		Q28859597
Q65168215		Q48564241
Q16328898		Q8386
Q24700923		Q8386
Q34436149		Q8386
Q12830278		Q12870
Q13168207		Q12870
Q21700898		Q12870
Q12949837		Q102507
Q12817749		Q103517
Q27896082		Q103517
Q31826287		Q103517
Q10825337		Q107968
Q12818164		Q107968
Q25615741		Q107968
Q55706852		Q107968
Q97264220		Q107968
Q103854983		Q107968
Q103862121		Q107968
Q12367505		Q131207
Q16511989		Q131207
Q31284233		Q131207
Q6063182		Q326277
Q6969826		Q326277
Q12028984		Q326277
Q12824582		Q326277
Q25581683		Q326277
Q97264499		Q326277
Q103856157		Q326277
Q12421284		Q418993
Q72461336		Q418993
Q12665192		Q419330
Q12433131		Q419381
Q86011825		Q419430
Q5702068		Q419472
Q12448471		Q419717
Q12430354		Q419739
Q12458523		Q419806
Q17633206		Q419857
Q12438745		Q419904
Q20817135		Q419953
Q96104953		Q420035
Q12819655		Q420172
Q15726019		Q420176
Q72515106		Q420207
Q6152781		Q420320
Q12430637		Q420622
Q65225875		Q420657
Q12421741		Q420695
Q12420755		Q420704
Q2422826		Q420868
Q65163226		Q421147
Q5728337		Q421162
Q4073303		Q421181
Q65167669		Q421183
Q72451183		Q421203
Q19787904		Q421256
Q12528813		Q424081
Q989674		Q568469
Q12103924		Q568469
Q13169883		Q844593
Q10911239		Q1064242
Q56611104		Q1064242
Q15841537		Q1993452
Q103864165		Q1993452
Q5785173		Q2268418
Q15811498		Q2268418
Q4864766		Q3955012
Q25442049		Q3955012
Q103865133		Q3955012
Q103863380		Q55524312
Q21099568		Q97453522
Q27889475		Q27130652
Q13076026		Q42501
Q25424215		Q42501
Q25533596		Q42501
Q25554273		Q42501
Q31090994		Q42501
Q65450730		Q42501
Q3239638		Q83323
Q3642881		Q83323
Q65329471		Q83323
Q3612659		Q190527
Q15706181		Q190527
Q12969599		Q247994
Q56353219		Q350176
Q16114376		Q410851
Q12040960		Q417561
Q12537670		Q426228
Q3343424		Q742487
Q9061982		Q742487
Q3683628		Q905480
Q12797387		Q906592
Q16133211		Q909436
Q67918278		Q2421285
Q1227134		Q5279740
Q60530681		Q12385831
Q103866806		Q15835484
Q65225001		Q27254478
Q2766591		Q879
Q12935894		Q879
Q12951127		Q879
Q13167121		Q879
Q13195575		Q879
Q16041969		Q879
Q19681886		Q879
Q19717808		Q879
Q19747311		Q879
Q19749589		Q879
Q31829672		Q879
Q65424544		Q879
Q2759765		Q11344
Q20054002		Q11344
Q21150812		Q11344
Q25682328		Q11344
Q25683509		Q11344
Q25697933		Q11344
Q25706238		Q11344
Q53931299		Q11344
Q53931321		Q11344
Q63368193		Q11344
Q12832436		Q40867
Q13078842		Q40867
Q25500867		Q66392
Q6704357		Q162908
Q11660588		Q162908
Q25527309		Q162908
Q31173286		Q162908
Q31820221		Q162908
Q65429209		Q162908
Q2782179		Q191154
Q10544375		Q191154
Q10601860		Q191154
Q16634192		Q204178
Q27430237		Q211171
Q7067925		Q216852
Q16133827		Q216852
Q65286431		Q216852
Q21086656		Q255712
Q98097611		Q255712
Q5991784		Q258734
Q2994435		Q274579
Q12957964		Q274579
Q86008592		Q408171
Q60574158		Q411638
Q25523825		Q411835
Q100701155		Q411835
Q6011788		Q420643
Q470864		Q723538
Q2305510		Q886593
Q10294659		Q886593
Q11395812		Q886593
Q16308515		Q886593
Q11723012		Q898920
Q18362964		Q898920
Q10772390		Q901227
Q11879840		Q901227
Q108442033		Q901227
Q16667643		Q904609
Q11309547		Q905814
Q12101141		Q905814
Q28067985		Q906289
Q7263688		Q912400
Q1347126		Q926272
Q11990841		Q967847
Q15858832		Q1036661
Q19978852		Q1056832
Q25534110		Q1056832
Q111312004		Q1060922
Q65167498		Q1073333
Q4301846		Q1075285
Q3538069		Q1079788
Q16518938		Q1079788
Q103865495		Q1079788
Q23440945		Q1227097
Q26706220		Q1227097
Q109037839		Q1434217
Q25406158		Q1757710
Q28687022		Q1757710
Q103857041		Q1757710
Q66589562		Q1801668
Q15845431		Q1821342
Q3317127		Q1926141
Q65230137		Q1926141
Q25444105		Q2426326
Q12137591		Q2656940
Q103866354		Q3482890
Q9268714		Q4139912
Q25532923		Q4139912
Q85975812		Q17623309
Q19672187		Q146505
Q25527463		Q146505
Q12433128		Q203174
Q12457087		Q204030
Q27094795		Q204594
Q12428831		Q204714
Q20963667		Q204714
Q111931654		Q204717
Q12430038		Q204964
Q12459158		Q204964
Q21086726		Q204964
Q576171		Q205562
Q12630277		Q207843
Q65284696		Q207843
Q97482307		Q207843
Q13173562		Q417725
Q5999408		Q422870
Q10282679		Q422870
Q16678133		Q898866
Q22812295		Q902638
Q103858454		Q902638
Q12244933		Q910212
Q16137139		Q910212
Q8348049		Q911922
Q25629972		Q911922
Q2886624		Q2155237
Q17334037		Q2155237
Q25581649		Q2155237
Q12767475		Q2200407
Q13168746		Q2200407
Q16059655		Q2200407
Q23749471		Q2200407
Q25521778		Q2200407
Q25534007		Q2200407
Q18394100		Q2412969
Q3860034		Q2649417
Q24577882		Q3072135
Q6136447		Q3361209
Q1227378		Q3502656
Q2390921		Q3502656
