#did,when,nextofkin
WP5032,,
WP5018,,
WP4968,,
WP4967,,
WP4964,,
WP4960,,
WP4959,,
WP4958,,
WP4957,,
WP4956,,
WP4955,,
WP4954,,
WP4953,,
WP4952,,
WP4951,,
WP4943,,
WP4939,,
WP4938,,
WP4937,,
WP4935,,
WP4934,,
WP4933,,
WP4932,,
WP4930,,
WP4929,2020-06-02,WP4928
WP4926,,
WP4924,,
WP1916,,
WP4915,,
WP4911,,
WP4908,,
WP4907,,
WP4903,,
WP4902,,
WP4901,,
WP4899,,
WP4898,,
WP4897,,
WP4896,,
WP4895,,
WP4894,,
WP4882,,
WP4869,2020-06-03,WP2861
WP4862,2020-05-29,WP2863
WP4855,,
WP4850,,
WP4651,,
WP4455,,
WP4425,,
WP4089,,
WP4080,2020-11-02,WP4065
WP3607,,
WP3573,,
WP3383,2020-11-02,WP5022
WP3107,,
WP3017,,
WP2785,,
WP2771,,
WP2734,,
WP2700,,
WP1898,,
WP1833,2020-11-02,WP2703
WP850,,
WP237,2020-10-30,WP4523
